repo	module	file_path	class_name	kind	extends	table_or_path	field_count	fields
invoices	services	services/src/main/java/cars/ship/invoices/listeners/converters/CtmsPubSubConverter.java	CtmsPubSubConverter	dto			41	userManagementService:UserManagementService;postingService:PostingService;objectMapper:ObjectMapper;externalUpdateTime:Instant;invoice:InvoiceDto;loadObject:LoadDto;carrierLoadId:String;carrierCompanyId:String;shipperCompanyId:String;shipperLoadId:String;carrierInvoiceId:String;loadId:String;company:CompanyInvoiceDto;carrier:ContactInvoiceDto;paymentNotes:String;carrierInvoiceDeliveryStatus:CarrierInvoiceDeliveryStatusEnum;services:CarrierServiceDto[];totalAmountInCents:long;carrierInvoice:CarrierInvoiceDto;loadObject:LoadDto;company:CompanyInvoiceDto;carrier:ContactInvoiceDto;paymentNotes:String;services:CarrierServiceDto[];totalAmountInCents:long;carrierInvoiceRevision:CarrierInvoiceDto;pickup:ContactInvoiceDto;delivery:ContactInvoiceDto;vehicles:CarrierVehicleDto[];distanceInMeters:int;distanceInMiles:BigDecimal;pickupActualDate:LocalDate;deliveryActualDate:LocalDate;paymentMethod:PaymentMethodEnum;paymentTermBegins:PaymentTermBeginsEnum;paymentTermCalendarDays:Integer;paymentDueDate:LocalDate;carrierReceivablesAmountInCents:long;location:LocationInvoiceDto;location:LocationInvoiceDto;baseDate:LocalDate
invoices	services	services/src/main/java/cars/ship/invoices/listeners/converters/common/CustomerKey.java	CustomerKey	dto			0	
invoices	services	services/src/main/java/cars/ship/invoices/services/impl/CustomerInvoiceExportCsvJobServiceImpl.java	CustomerInvoiceExportCsvJobServiceImpl	dto			7	customerInvoiceExportCsvExportWorkflowClient:CustomerInvoiceExportCsvExportWorkflowClient;idGenerationService:IDGenerationService;mediaProxyService:MediaProxyService;timeSpent:StopWatch;csvExportWorkflowInDtoBuilder:ExportCsvWorkflowInDto.ExportCsvWorkflowInDtoBuilder;workflowId:String;csvExportWorkflowIn:ExportCsvWorkflowInDto
invoices	services	services/src/main/java/cars/ship/invoices/services/impl/CustomerInvoiceServiceImpl.java	CustomerInvoiceServiceImpl	dto			24	companyService:CompanyService;idGenerationService:IDGenerationService;preCreateCustomerInvoiceService:PreCreateCustomerInvoiceService;customerInvoiceConverter:CustomerInvoiceConverter;invoiceRepository:InvoiceRepository;mediaProxyService:MediaProxyService;populatedInvoices:CustomerInvoiceDto[];footerNotes:CustomerFooterNoteDto;invoices:PageDto<InvoiceEntity>;res:PageDto<CustomerInvoiceDto>;newContent:CustomerInvoiceDto[];invoiceId:String;companyId:String;invoice:InvoiceEntity;invoiceId:String;companyId:String;invoice:InvoiceEntity;filter:InvoiceFilter;invoices:PageDto<InvoiceEntity>;customerEntity:ContactEntity;nameMatches:boolean;phoneMatches:boolean;newInvoices:InvoiceEntity[];invoice:InvoiceEntity
invoices	services	services/src/main/java/cars/ship/invoices/services/dtos/EmailMessageDto.java	EmailMessageDto	dto			4	senderName:String;recipients:String[];message:String;subject:String
invoices	services	services/src/main/java/cars/ship/invoices/services/dtos/CustomerInvoiceExportDto.java	CustomerInvoiceExportDto	dto			0	
lead-parser	lead-parser	src/main/java/com/shipcars/parser/entity/EmailSourceEntity.java	EmailSourceEntity	jpa		source	6	id:Long;email:String;template:String;website:String;enabled:String;created_time:String
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/PostingDto.java	PostingDto	dto			1	status:String
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/ResultDto.java	ResultDto	dto			2	results:BookmarkDto[];count:int
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/BookmarkDto.java	BookmarkDto	dto			44	id:String;loadId:String;canBeClaimed:boolean;vehicles:VehicleDto[];deliveryCity:String;deliveryRequestedDateEnd:Date;deliveryRequestedDateEndType:String;deliveryRequestedDateStart:Date;deliveryRequestedDateStartType:String;deliveryState:String;deliveryZip:String;deliveryAddressLocation:AddressLocationDto;distanceImperial:int;paymentMethod:String;paymentOnDelivery:Double;paymentOnDeliveryMethod:String;paymentOnPickup:Double;paymentOnPickupMethod:String;pickupCity:String;pickupRequestedDateEnd:Date;pickupRequestedDateEndType:String;pickupRequestedDateStart:Date;pickupRequestedDateStartType:String;pickupState:String;pickupZip:String;pickupAddressLocation:AddressLocationDto;totalPaymentToCarrier:Double;shipperUserManagementId:String;shipperLoadId:String;shipperId:String;updateTime:Date;status:String;paymentTermBusinessDays:String;expirationTime:LocalDateTime;postedOnCd:Boolean;postedExternallyTime:Date;exclusivityExpirationTime:Date;premiumExclusivityExpirationTime:Date;premiumOnly:boolean;shipperName:String;posting:PostingDto;labels:String[];isPrivate:boolean;paymentTermCalendarDays:Integer
